Asana,Benefits
BHUJANGASANA,"This asana improves and deepens breathing. It can help to remove backache and keep the spine supple and healthy. It tones the ovaries and uterus, and helps in menstrual and some other gynaecological disorders. It stimulates the appetite, alleviates constipation and is beneficial for all the abdominal organs, especially the liver and kidneys."
SAITHALYASANA,"This asana stretches the back, pelvic region, insides of the thighs and opens up the hip joints. It balances the nervous system. It also massages the abdominal organs by gently compressing each side alternately against the thighs."
BHU NAMANASANA,"This asana stretches the spine and lower back, making the muscles supple and stimulating the nerves."
SARVANGASANA,"By pressing the chest against the chin, this asana stimulates the thyroid gland. It generally balances the circulatory, respiratory, digestive, reproductive, nervous and endocrine systems. It also tranquillizes the mind, relieves mental and emotional stress, and helps clear psychological disturbances, boosting the immune system. Its influence on the parathyroid
glands ensures normal development and regeneration of the bones. Abdominal breathing is induced, improving the exchange of air in the body, relieving stress and massaging the abdominal organs. Sarvangasana releases the normal gravitational pressure from the anal muscles, relieving haemorrhoids. It tones the legs, abdomen and reproductive organs, draining stagnant blood and fluid, and increasing circulation to these areas. Flexibility of the neck vertebrae is improved and the nerves passing through the neck to the brain are toned. Circulation is increased in this area generally,
revitalizing the ears, eyes and tonsils."
NATARAJASANA,"This asana strengthens the back, shoulders, arms, hips and legs. It
helps develop a sense of balance and coordination and improves
concentration."
"POORNA 
BHUJANGASANA","This asana keeps the spine supple and healthy. It tones the ovaries and uterus, and is beneficial for all the abdominal organs, especially the liver and kidneys. On a pranic level, this asana has a strong effect on all the organs related to swadhisthana, manipura, anahata and vishuddhi chakras."
KOORMASANA,"Koormasana tones all the organs of the abdomen and is helpful in managing diabetes, flatulence and constipation. It increases circulation in the spine, soothing the nerves and relieving head and neck ache. It induces introversion, mental relaxation, composure and a sense of inner security and surrender. Passion, fear and anger subside, and the body and mind are refreshed through this practice."
"POORNA 
SHALABHASANA","Poorna shalabhasana strengthens the back and pelvic organs. It tones and balances the functioning of the liver, stomach, bowels and other abdominal organs, and stimulates the appetite. It tightens the muscles of the buttocks and causes the body to do vajroli mudra spontaneously. Many of the benefits of inverted asanas also apply."
"POORNA 
DHANURASANA","The entire alimentary canal is reconditioned by this asana. The abdominal organs and muscles are massaged. The liver, pancreas, kidneys and adrenal glands are toned, balancing their secretions. This leads to improved functioning of the digestive, excretory and reproductive organs. It improves blood circulation generally. The spinal column is realigned and the ligaments, muscles and nerves are activated. It strengthens the shoulder, arm and leg muscles, especially the thighs. It is useful for freeing nervous energy in the cervical and thoracic area, generally improving respiration."
BANDHA HASTA UTTHANASANA ," This asana rectifies round shoulders and removes stiffness from the shoulders and upper back. The deep, synchronized breaths improves breathing capacity. This asana also influences the heart and improves blood circulation. The whole body, especially the brain, receives an extra supply of oxygen. "
SHAVA UDARAKARSHANASANA ,"Tightness and tiredness are relieved, especially in the lower back. The pelvic and abdominal organs are toned through its massaging action. "
CHAKKI CHALANASANA ,This asana is excellent for toning the nerves and organs of the pelvis and abdomen. It is very useful for regulating the menstrual cycle and may be performed during the first three months of pregnancy. It is also an excellent exercise for postnatal recovery. 
KASHTHA TAKSHANASANA ,"This asana loosens up the pelvic girdle and tones the pelvic muscles. It also has a special effect on the usually inaccessible muscles of the back between the shoulder blades, as well as the shoulder joints and upper back muscles. It helps io release frustration and lighten the mood. "
VAYU NISHKASANA," Like namaskarasana, this pose has a beneficial effect on the nerves and muscles of the thighs, knees, shoulders, arms and neck. The pelvic organs and muscles are mas saged. It gives an equal stretch to the whole spine and both the arm and leg muscles. All the vertebrae and joints are pulled away from each other so that the pressure between them is balanced. Simultaneously, all the spinal nerves are stretched and toned. It is also useful for relieving flatulence. "
USHTRASANA,"This asana is beneficial for the digestive and reproductive systems. It
stretches the stomach and intestines, alleviating constipation. The backward
bend loosens up the vertebrae and stimulates the spinal nerves, relieving
backache, rounded back and drooping shoulders. The posture is improved.
The front of the neck is fully stretched, toning the organs in this region and
regulating the thyroid gland. It is helpful for people suffering from asthma."
Samakonasana ,"This asana works specifically on the upper back directly behind the chest. It rectifies spinal curvature, tension and poor posture."
Matsyasana,"This asana stretches the intestines and abdominal organs and is useful for all abdominal ailments. To remove constipation, drink 3 glasses of water and then perform this a sana. It also relieves inflamed and bleeding piles. This practice is very good for asthma and bronchitis as it encourages deep respiration. It recirculates stagnant blood in the back, alleviating backache and cervical spondylitis. It regulates the function of the thyroid gland and stimulates the thymus gland, boosting the immune system. The pelvic region is given a good stretch and the pressure of the feet on the thighs greatly reduces blood circulation in the legs, diverting it to the pelvic organs. This h elps prevent and remove disorders of the reproductive system. The practice of sheetkari pranayama in the final position makes the voice sweet and steady, and relieves sore throat and tonsillitis. Youthfulness and vitality are increased."
Kandharasana,"This asana may be utilized to realign the spine, eliminating roun ded shoulders and relieving backache. It massages and stretches the colon and abdominal organs, improving digestion. It tones the female reproductive organs and is especially recommended for women who have a tendency to miscarry. Kandharasana is used in yo ga therapy for the management of menstrual disorders, prolapse, asthma, and various bronchial and thyroid conditions."
 Setu Asana ,"This  asana  has  similar  benefits  to  chakrasana.  It  is  generallystrengthening and, in addition, tones the lumbar region of the spine and theAchilles tendons.Setu asana"
Paschimottanasana,"This asana stretches the hamstring muscles and increases flexibility inthe  hip  joints.  It tones  and  massages  the  entire  abdominal and  pelvic  regionincluding the liver, pancreas, spleen, kidneys and adrenal glands. It removesexcess  weightin  this  area  and  helps  alleviate  disorders  of  the  uro-genitalsystem. It stimulates circulation to the nerves and muscles of the spine. It isused  in  yoga  therapy  for  the  management  of  prolapse,  menstrual  disorders,sluggish    liver,    diabetes,    colitis,    kidney    complaints,    bronchitis    andeosinophilia."
Meru Akarshanasana,"This asana relaxes the hamstring, inner thigh andabdominal musclesand stretches the muscles of the sides of the body rendering them stronger andmore flexible. It reduces weight on the hips and thighs."
Pada Hastasana,"This asana massages and tones the digestive organs, alleviates
flatulence, constipation and indigestion. All spinal nerves are stimulated and
toned. Inverting the trunk increases the blood flow to the brain and improves
circulation to the pituitary and thyroid glands. Other benefits resulting from
this inversion include increased vitality, improved metabolism, increased
concentration and the removal of nasal and throat diseases. The dynamic
form of pada hastasana also helps to
remove excess weight."
Seetkari Pranayama,"This practice cools the body and the mind as well. It affects
important brain centers associated with biological drives and temperature
regulation. It cools and reduces mental and emotional excitation, and
encourages the free flow of prana throughout the body. It induces muscular
relaxation, mental tranquility and may be used as a tranquillizer before sleep.
It gives control over hunger and thirst, and generates a feeling of satisfaction.
It helps reduce blood pressure and acid stomach. keeps
the teeth and gums healthy."
Jalandhara Bandha,"Jalandhara bandha compresses the carotid sinuses, which are
located on the carotid arteries, the main arteries in the neck. These sinuses
help to regulate the circulatory and respiratory systems. Normally, a
decrease of oxygen and increase of carbon dioxide in the body leads to an
increased heart rate and heavier breathing. This process is initiated by the
carotid sinuses. By artificially exerting pressure on these sinuses, this
tendency is prevented, allowing for decreased heart rate and increased
breath retention.
This practice produces mental relaxation, relieving stress, anxiety and
anger. It develops meditative introversion and one-pointedness. The
stimulus on the throat helps to balance thyroid function and regulate the
metabolism."
Tadagi Mudra,"Tadagi mudra relieves any tension stored in the diaphragm and pelvic
floor, tones the abdominal organs and stimulates blood circulation to these
areas. It improves the digestion and helps to alleviate diseases of this region.
The nerve plexuses in the visceral area are stimulated and toned.
Bending forward and extending the stomach stretches the diaphragm and
pelvic floor, and creates pressure throughout the trunk of the body. This
stimulates manipura chakra, the center of energy distribution, and raises the
level of prana generally."
Maha Vedha Mudra,"This is a powerful practice for introverting the mind, awakening
psychic faculties and the dormant kundalini which is said to reside in
mooladhara chakra. The endocrine system is stimulated by activating the
pineal gland. This keeps the pituitary gland under control, regulates hormonal
secretions and curtails catabolism, reducing the symptoms of old age."
Shashankasana,"This asana stretches the back muscles and separates the individual
vertebrae from each other, releasing pressure on the discs. Often nerve
connections emanating from the spinal cord are squeezed by these discs,
giving rise to various forms of backache. This posture helps to relieve this
problem and encourages the discs to resume their correct position. It also
regulates the functioning of the adrenal glands. It tones the pelvic muscles
and the sciatic nerves and is beneficial for women who have an
underdeveloped pelvis. It helps to alleviate disorders of both the male and
female reproductive organs. Regular practice relieves constipation. When
practiced with ujjayi pranayama in the final position, it helps to eliminate
anger and is very cooling for the brain."
JANU CHAKRA,"Since the knee joint bears the whole weight of the body and has no
strong muscles for support, it is most vulnerable to injuries, sprains and
osteoarthritis. All the knee asanas strengthen the quadriceps muscle and the
ligaments around the knee joint. These asanas rejuvenate the joint by
activating the healing energies."
POORNA TITALI ASANA,"Both stages prepare the legs for mastery of padmasana and other
meditative asanas. The inner thigh muscles hold a lot of tension which is
relieved by these asanas. They also remove tiredness due to long hours of
standing and walking."
MANIBANDHA CHAKRA,"The hand and wrist asanas are beneficial for the related joints. They
also relieve tension caused by prolonged writing, typing and so on."
SKANDHA CHAKRA,"The shoulder asanas relieve the strain of driving and office work, and
also help relieve the pressure in cervical spondylitis and frozen shoulder.
They maintain the shape of the shoulders and chest."
GREEVA SANCHALANA,"All the nerves connecting the different organs and limbs of the body
pass through the neck. Therefore, the muscles of the neck and shoulders
accumulate tension, especially after prolonged work at a desk. These asanas
release tension, heaviness and stiffness in the head, neck and shoulder
region."
PADACHAKRASANA,"Good for the hip joints, obesity, toning of the abdominal and spinal
muscles."
PADA SANCHALANASANA,"Good for hip and knee joints. Strengthens abdominal and lower back
muscles."
SUPTA PAWANMUKTASANA,"Supta pawanmuktasana strengthens the lower back muscles and
loosens the spinal vertebrae. It massages the abdomen and the digestive
organs and is therefore very effective in removing wind and constipation. By
massaging the pelvic muscles and reproductive organs, it is also useful for
impotence, sterility and menstrual problems."
JHULANA LURHAKANASANA,"This asana massages the back, buttocks and hips. It is most useful if
done first thing in the morning after waking."
SUPTA UDARAKARSHANASANA,"This asana gives an excellent stretch to the abdominal muscles and
organs, and thereby helps to improve digestion and eliminate constipation.
The twisting stretch of the spinal muscles relieves the strain and stiffness
caused by prolonged sitting.
The distance of the feet from the buttocks determines the placement of the
spinal twist. If the feet are about 60 cm from the buttocks, the adjustment is
in the lower area of the spine. As the feet approach the buttocks, the
adjustment rises up the spine. When the feet are next to the buttocks, the
adjustment is in the area of the cardiac plexus. Therefore, moving the feet
about 3 cm each time works on each vertebra, bringing suppleness to the
whole spinal column."
NAUKASANA,"This asana stimulates the muscular, digestive, circulatory, nervous
and hormonal systems, tones all the organs and removes lethargy. It is
especially useful for eliminating nervous tension and bringing about deep
relaxation. It may be performed before shavasana in order to attain a deeper
state of relaxation. If practised upon waking, it immediately restores
freshness.
It is also useful for women preparing for childbearing and may be practised
during the second trimester of pregnancy."
RAJJU KARSHANASANA,"This asana loosens the shoulder joints and stretches the upper back
muscles. It firms the breast and develops the muscles of the chest."
GATYATMAK MERU VAKRASANA,"This asana removes stiffness of the back and increases flexibility of
the spine."
NAUKA SANCHALANASANA,"This asana has a positive effect on the pelvis and abdomen and
releases energy blockages in these areas. It is especially useful for
gynaecological disorders and postnatal recovery. It also removes
constipation."
NAMASKARASANA,"This asana has a profound effect on the nerves and muscles of the
thighs, knees, shoulders, arms and neck. It increases flexibility in the hips."
KAUVA CHALASANA,"This asana prepares the legs for meditation asanas and improves
blood circulation in the legs. It also helps to remove constipation."
PALMING,"Palming relaxes and revitalizes the eye muscles, and stimulates the
circulation of the aqueous humour, the liquid that runs between the cornea
and the lens of the eye, aiding the correction of defective vision."
FRONT AND SIDEWAYS VIEWING,"Front and sideways viewing improves coordination of the medial and
lateral muscles of the eyeball."
UP AND DOWN VIEWING,Up and down viewing balances the upper and lower eyeball muscles.
SHAVASANA,"This asana relaxes the whole psycho-physiological system. It should
ideally be practised before sleep; before, during and after asana practice,
particularly after dynamic exercises such as surya namaskara; and when the
practitioner feels physically and mentally tired. It develops body awareness.
When the body is completely relaxed, awareness of the mind increases,
developing pratyahara."
Advasana,"Recommended for those with slipped disc, stiff neck and stooping
figure."
ARDHA PADMASANA,"It facilitates mental and physical
balance without causing strain or pain."
SIDDHASANA,"Siddhasana directs the energy from the lower psychic centres upward
through the spine, stimulating the brain and calming the entire nervous
system. The position of the lower foot at the perineum presses mooladhara
chakra, stimulating moola bandha, and the pressure applied to the pubic bone
presses the trigger point for swadhisthana, automatically activating
vajroli/sahajoli mudra. These two psycho-muscular locks redirect sexual
nervous impulses back up the spinal cord to the brain, establishing control
over the reproductive hormones which is necessary in order to maintain
brahmacharya for spiritual purposes.
Prolonged periods in siddhasana result in noticeable tingling sensations in
the mooladhara region, which may last for ten to fifteen minutes. This is
caused by a reduction in the blood supply to the area and by a rebalancing of
the pranic flow in the lower chakras.
This posture redirects blood circulation to the lower spine and abdomen,
toning the lumbar region of the spine, the pelvis and the abdo"
SIDDHA YONI ASANA,"Directs the energy from the lower psychic centres upward
through the spine, stimulating the brain and calming the entire nervous
system. The position of the lower foot at the perineum presses mooladhara
chakra, stimulating moola bandha, and the pressure applied to the pubic bone
presses the trigger point for swadhisthana, automatically activating
vajroli/sahajoli mudra. These two psycho-muscular locks redirect sexual
nervous impulses back up the spinal cord to the brain, establishing control
over the reproductive hormones which is necessary in order to maintain
brahmacharya for spiritual purposes.
Prolonged periods in siddhasana result in noticeable tingling sensations in
the mooladhara region, which may last for ten to fifteen minutes. This is
caused by a reduction in the blood supply to the area and by a rebalancing of
the pranic flow in the lower chakras.
This posture redirects blood circulation to the lower spine and abdomen,
toning the lumbar region of the spine, the pelvis and the abdo"
SWASTIKASANA,"Swastikasana is a healthy position to sit in, especially for those
suffering from varicose veins, tired and aching muscles or fluid retention in
the legs."
PADADHIRASANA,"The pressure under both the armpits helps to open the nostrils to
facilitate the practice of pranayama. Since the breath flow in the right and
left nostrils influences the activities of the sympathetic and parasympathetic
nervous systems respectively, opening of the two nostrils induces a state of
autonomic balance."
VAJRASANA,"Vajrasana alters the flow of blood and nervous impulses in the pelvic
region and strengthens the pelvic muscles. It is a preventative measure
against hernia and also helps to relieve piles. It reduces the blood flow to the
genitals and massages the nerve fibres which feed them, making it useful in
dilated veins of the testicles and hydrocele in men. It alleviates menstrual
disorders. It increases the efficiency of the entire digestive system, relieving
stomach ailments such as hyperacidity and peptic ulcer.
Vajrasana is a very important meditation posture because the body becomes
upright and straight with no effort. It is the best meditation asana for people
suffering from sciatica. It stimulates the vajra nadi, activates prana in
sushumna and redirects sexual energy for spiritual purposes."
ANANDA MADIRASANA,"This asana is used primarily to awaken ajna chakra. It also calms the
mind, relaxes the nervous system and gives all the benefits of vajrasana."
BHADRASANA,"This is predominantly a pose for spiritual aspirants as it has a
stimulating influence on mooladhara chakra. It is an excellent meditation
pose. The benefits are basically the same as for vajrasana."
SIMHASANA,"In this posture there is a very definite extension of the spinal cord
and the body is absolutely fixed. There is total physical stability."
SIMHAGARJANASANA,"This is an excellent asana for the throat, nose, ears, eyes and mouth,
especially if performed facing the healing rays of the early morning sun. It
relieves frustration and releases emotional tension. Tension is removed from
the chest and diaphragm. Simhagarjanasana is useful for people who stutter
or who are nervous and introverted. It develops a strong and beautiful voice.
Other benefits are as for shambhavi mudra."
VEERASANA,"This is a preliminary balancing pose which aids in stabilizing the
nervous system."
MARJARI-ASANA,"This asana improves the flexibility of the neck, shoulders and spine.
It gently tones the female reproductive system, giving relief from menstrual
cramps and leucorrhea. It may be safely practised during pregnancy; forceful
contraction of the abdomen, however, should be avoided."
VYAGHRASANA,"This asana exercises and loosens the back by bending it alternately in
both directions and tones the spinal nerves. It relaxes the sciatic nerves,
relieving sciatica, and loosens up the legs and hip joints. It tones the female
reproductive organs and is especially beneficial for women after childbirth
and those who have given birth to many children. It stretches the abdominal
muscles, promotes digestion and stimulates blood circulation. Weight is
reduced from the hips and thighs."
SHASHANK BHUJANGASANA,"Shashank bhujangasana gives similar benefits to bhujangasana and
shashankasana. However, the benefits of the latter postures come from
maintaining the final position, whereas shashank bhujangasana acts mainly
by alternately flexing the spine backward and forward.
This asana gently tones the male and female reproductive organs, alleviates
menstrual disorders and is an excellent post-natal asana, strengthening and
tightening the abdominal and pelvic region. It tones and improves the
functioning of the liver, kidneys and other visceral organs. It also strengthens
the back muscles."
NAMAN PRANAMASANA,"As a preparatory practice for sirshasana (the head- stand pose) it
allows the brain to gradually adapt to the extra pressure in the head when the
body is inverted. It gives many of the benefits of sirshasana, but to a lesser
degree."
ASHWA SANCHALANASANA,"This asana tones the abdominal organs and gives a good stretch to the
lower back. It strengthens the hips, legs, ankles and feet, and induces balance
in the nervous system."
ARDHA USHTRASANA,"This asana is beneficial for the digestive and reproductive systems. It
stretches the stomach and intestines, alleviating constipation. The backward
bend loosens up the vertebrae and stimulates the spinal nerves, relieving
backache, rounded back and drooping shoulders. The posture is improved.
The front of the neck is fully stretched, toning the organs in this region and
regulating the thyroid gland. It is helpful for people suffering from asthma."
SUPTA VAJRASANA,"This asana massages the abdominal organs, alleviating digestive
ailments and constipation. It tones the spinal nerves, makes the back flexible
and realigns rounded shoulders. The nerves in the neck and the thyroid gland
are particularly influenced. The chest is stretched and expanded to full
capacity, filling the lungs and bringing more oxygen into the system. It is
beneficial for those suffering from asthma, bronchitis and other lung
ailments. It loosens up the legs in preparation for sitting in meditation
asanas. It redirects sexual energy to the brain for spiritual purposes."
AKARNA DHANURASANA,"This asana exercises the shoulders and also uses the short and deep
muscles of the neck and shoulder blades. These muscles are not often
exercised and can hold a significant amount of postural and subconscious
tension which is responsible for stiffness and pain. The alternate tensing and
relaxing smoothes out the energy flow and relaxes the muscles. This asana is
helpful for people with bad posture, cervical spondylitis, writerâ€™s cramp and
shoulder or arm stiffness."
TADASANA,"This asana develops physical and mental balance. The entire spine is
stretched and loosened, helping to clear up congestion of the spinal nerves at
the points where they emerge from the spinal column. It helps to increase
height by stretching the muscles and ligaments, enabling growing bones to
grow longer. Tadasana stretches the rectus abdomini muscles and the
intestines, and is useful during the first six months of pregnancy to keep the
abdominal muscles and nerves toned."
TIRYAK TADASANA,"As for tadasana, but it especially massages, loosens and exercises the
sides of the waist. It balances the right and left groups of postural muscles."
KATI CHAKRASANA,"This asana tones the neck, shoulders, waist, back and hips. It is useful
for correcting back stiffness and postural problems. The relaxation and
twisting movement induces a feeling of lightness and may be used to relieve
physical and mental tension at any time during the day."
TIRYAK KATI CHAKRASANA,"As for kati chakrasana. This asana also strengthens the back muscles,
and improves balance and coordination."
MERU PRISHTHASANA,"This asana stretches the spine, tones the back muscles and
redistributes excess weight from the waistline."
UTTHANASANA,"This asana strengthens the muscles of the middle of the back, the
pelvis, uterus, thighs, knees and ankles."
DRUTA UTKATASANA,The muscles of the back and legs are strengthened
DWIKONASANA,"This asana strengthens the muscles between the upper spine and the
shoulder blades, and develops the chest and neck. It is especially good for
young, growing bodies."
TRIKONASANA,"This series affects the muscles on the sides of the trunk, the
waist and the back of the legs. It stimulates the nervous system and alleviates
nervous depression. It improves digestion. It also strengthens the pelvic area
and tones the reproductive organs. Regular practice will help to reduce
waistline fat."
UTTHITA LOLASANA,"This asana helps to remove tiredness by stimulating the circulation
and toning the spinal nerves. It stretches the hamstrings and back muscles,
loosens the hips and massages the visceral organs. This is an excellent prepranayama
practice as it opens up all the alveoli and helps drainage of
stagnant mucus. It has the added benefits of inverted asanas, especially on
the brain."
DOLASANA,"This asana strengthens the hamstrings and back muscles, makes the
back supple and tones the spinal nerves. It improves the blood circulation to
the head and face."
ASHTANGA NAMASKARA,"This pose strengthens the leg and arm muscles, develops the chest
and exercises the region of the spine between the shoulder blades."
GUPTA PADMASANA,"This asana helps to correct postural defects of the spine and so is
useful in achieving a productive meditation posture. It may be used as a
relaxation pose as it induces peace, stability and emotional balance."
BADDHA PADMASANA,"It alleviates pain in the shoulders, arms and back. It encourages
normal growth in children with poorly developed chests. Spiritually, it is
used in the process of awakening kundalini."
LOLASANA,"The arms, wrists, shoulders and abdominal muscles are strengthened
and the chest is opened. It generates control and balance."
KUKKUTASANA,"This posture strengthens the arm and shoulder muscles, and stretches
the chest. It develops a sense of balance and stability. It is used in the
process of kundalini awakening due to the stimulation of mooladhara chakra."
GARBHASANA,"This asana has a regulating effect on the adrenal glands and calms an
excited mind. It helps emotional stability generally, giving a sense of
security, while those who experience uncontrollable anger may practise this
pose regularly. It massages and tones the abdominal organs, stimulates the
digestive fire and increases the appetite. It also develops the sense of
balance."
TOLANGULASANA,"This asana tones the abdominal organs and lower abdominal muscles,
and removes excess weight. It strengthens the back, and especially the thigh
muscles. It induces a state of relaxation and equanimity."
SARAL BHUJANGASANA,"This asana strengthens the arms and shoulders and is especially good
for stiff backs."
TIRYAK BHUJANGASANA,"As for bhujangasana, with increased influence on the arms and the
intestines."
SARPASANA,"Basically the same benefits as for bhujangasana; in addition
sarpasana helps to correct the posture, particularly rounded shoulders, and
has a profound strengthening effect on the back muscles."
ARDHA SHALABHASANA,"Ardha shalabhasana is an excellent asana for the back and pelvic
organs. It can release tension in the pelvic area."
SHALABHASANA,"Shalabhasana strengthens the lower back and pelvic organs, and
provides relief from backache, mild sciatica and slipped disc as long as the
condition is not serious. It tones and balances the functioning of the liver,
stomach, bowels and other abdominal organs, and stimulates the appetite. It
tightens the muscles of the buttocks and causes the body to do vajroli mudra
spontaneously."
SARAL DHANURASANA,"The same benefits as for dhanurasana, but at decreased levels. This
posture is useful for lower back pain due to slipped disc or cervical
spondylitis when it can be performed without discomfort. It tones the heart
and lungs, and is beneficial for respiratory disorders. It helps to improve the
posture."
DHANURASANA,"The entire alimentary canal is reconditioned by this asana. The liver,
abdominal organs and muscles are massaged. The pancreas and adrenal
glands are toned, balancing their secretions. The kidneys are massaged and
excess weight is reduced around the abdominal area.
This leads to improved functioning of the digestive, excretory and
reproductive organs and helps to remove gastrointestinal disorders,
dyspepsia, chronic constipation and sluggishness of the liver.
It is useful for the management of diabetes and menstrual disorders. It
improves blood circulation generally. The spinal column is realigned and the
ligaments, muscles and nerves are activated, removing stiffness. It helps to
correct hunching of the upper back. It strengthens leg muscles, especially the
thighs.
Dhanurasana is useful for freeing nervous energy in the cervical and thoracic
area, generally improving respiration."
ARDHA CHANDRASANA,"As for ashwa sanchalanasana. This asana also limbers and
strengthens the entire skeletal structure. It gives a good stretch to the neck,
shoulders, back and chest, releasing feelings of congestion. It improves the
sense of balance."
UTTHAN PRISTHASANA,"This asana exercises and strengthens the chest and diaphragm. It
tones the entire back and gives many benefits of inverted asanas with less
risk of side effects. It is excellent for relieving tightness between the
shoulder blades. When held for some time, it helps to relieve constipation
and piles."
GOMUKHASANA,"Gomukhasana is an excellent asana for inducing relaxation. If
practised for 10 minutes or more, it will alleviate tiredness, tension and
anxiety. It relieves backache, sciatica, rheumatism and general stiffness in
the shoulders and neck, and improves posture by increasing energy,
awareness, and generally opening the chest area. It alleviates cramp in the
legs and makes the leg muscles supple."
GATYATMAK PASCHIMOTTANASANA,"The benefits are the same as for paschimottanasana although at a
reduced level. This is a dynamic practice which speeds up the circulation and
metabolic processes. In addition, it renders the whole body more flexible,
stimulating physical and pranic energy."
PADA PRASAR PASCHIMOTTANASANA,"As well as providing essentially the same benefits as
paschimottanasana, this asana gives an extended stretch to the inside of the
legs and the muscles under and between the shoulder blades. The chest is
opened more than in paschimottanasana and the effect of the asana is
distributed throughout both the upper and lower parts of the body."
JANU SIRSHASANA,"This practice gives basically the same benefits as paschimottanasana
as well as loosening up the legs in preparation for meditation asanas."
ARDHA PADMA PASCHIMOTTANASANA,"Although the benefits of this asana are almost identical to janu
sirshasana and paschimottanasana, it has one distinct characteristic: the foot
of the bent leg applies an intense massage to the abdominal organs. Each leg
is bent in turn, which helps to stimulate intestinal peristalsis and alleviate
constipation. This asana also prepares the legs and hips for prolonged sitting
in meditation asanas."
HASTA PADA ANGUSHTHASANA,"This practice makes the hip joints flexible. It helps the proper
development and shaping of the pelvis in young girls. It reduces excess
weight on the hips and thighs and develops a sense of balance and
coordination, making the posture and gait more steady and graceful."
PADAHASTASANA,"This asana massages and tones the digestive organs, alleviates
flatulence, constipation and indigestion. Spinal nerves are stimulated and
toned. Inverting the trunk can increase vitality, improve metabolism and
concentration and help with nasal and throat diseases.
The dynamic form of padahastasana also helps to remove excess weight."
SIRSHA ANGUSTHA YOGASANA,"This asana stretches the hamstring, the thigh muscles, the area
between the shoulder blades, and provides a lateral stretch to the body. It
stimulates the nervous system and the appetite, and helps to remove
abdominal complaints.
It reduces excess weight around the waist."
UTTHITA JANU SIRSHASANA,"This asana stimulates the pancreas. It relaxes the hip joints and
stretches the hamstring muscles, massages the spinal nerves and revitalizes
the brain."
EKA PADOTTANASANA,"This asana renders the hamstring muscles and hip joints flexible. It
tones the adrenals and reproductive system."
MERU WAKRASANA,"Meru wakrasana stretches the spine, loosening the vertebrae and
toning the nerves. It alleviates backache, neck pain, lumbago and mild forms
of sciatica. It is a good asana for beginners, preparing the back for the more
difficult spinal twists."
ARDHA MATSYENDRASANA,"This asana simultaneously stretches the muscles on one side of the
back and abdomen while contracting the muscles on the other side.
It tones the nerves of the spine, makes the back muscles supple, relieves
lumbago and muscular spasms, and reduces the tendency of adjoining
vertebrae to develop inflammatory problems and calcium deposits. It
massages the abdominal organs, alleviating digestive ailments. It regulates
the secretions of the adrenal gland, liver and pancreas, and is beneficial for
the kidneys."
PARIVRITTI JANU SIRSHASANA,"This asana gives a lateral stretch to the body, and also stretches the
hamstrings and behind the shoulders. It gives a beneficial compression of the
abdominal muscles and organs on one side of the body and simultaneously
stretches them on the other side. It prepares the body for long hours of sitting
in meditation asanas."
